Label,name,code,region,sub_region,lat,lng,Abb
205,Timor-Leste,626,Asia,South-Eastern Asia,-8.874217,125.727539,TLS
206,Togo,768,Africa,Western Africa,8,1.17,TGO
207,Tokelau,772,Oceania,Polynesia,-9,-172,TKL
208,Tonga,776,Oceania,Polynesia,-20,-175,TON
209,Trinidad and Tobago,780,Latin America and the Caribbean,Caribbean,11,-61,TTO
210,Tunisia,788,Africa,Northern Africa,34,9,TUN
211,Turkey,792,Asia,Western Asia,39,35,TUR
212,Turkmenistan,795,Asia,Central Asia,40,60,TKM
213,Turks and Caicos Islands,796,Latin America and the Caribbean,Caribbean,21.75,-71.58,TCA
214,Tuvalu,798,Oceania,Polynesia,-8,178,TUV
215,Uganda,800,Africa,Eastern Africa,1,32,UGA
216,Ukraine,804,Europe,Eastern Europe,49,32,UKR
217,United Arab Emirates,784,Asia,Western Asia,24,54,ARE
218,United Kingdom of Great Britain and Northern Ireland,826,Europe,Northern Europe,54,-2,GBR
219,United Republic of Tanzania,834,Africa,Eastern Africa,-6,35,TZA
220,United States of America,840,Northern America,South America,38,-97,USA
221,United States Virgin Islands,850,Latin America and the Caribbean,Caribbean,18.33,-64.83,VIR
222,Uruguay,858,Latin America and the Caribbean,South America,-33,-56,URY
223,Uzbekistan,860,Asia,Central Asia,41,64,UZB
224,Vanuatu,548,Oceania,Melanesia,-16,167,VUT
225,Venezuela (Bolivarian Republic of),862,Latin America and the Caribbean,South America,8,-66,VEN
226,Viet Nam,704,Asia,South-Eastern Asia,16,106,VNM
227,Wallis and Futuna Islands,876,Oceania,Polynesia,-13.3,-176.2,WLF
228,Western Sahara,732,Africa,Northern Africa,24.5,-13,ESH
229,Yemen,887,Asia,Western Asia,15,48,YEM
230,Zambia,894,Africa,Eastern Africa,-15,30,ZMB
231,Zimbabwe,716,Africa,Eastern Africa,-20,30,ZWE
