source,target,migration_1995_total,migration_1995_male,migration_1995_female,migration_2000_total,migration_2000_male,migration_2000_female,migration_2005_total,migration_2005_male,migration_2005_female,migration_2010_total,migration_2010_male,migration_2010_female,migration_2015_total,migration_2015_male,migration_2015_female
6,54,0,0,0,0,0,0,0,0,0,39,10,29,3,1,2
7,64,1,1,0,0,0,0,2,1,1,1,0,1,3,0,3
7,142,31,10,21,46,17,29,129,53,76,18,6,12,40,15,25
7,16,7384,6383,1001,7384,6384,1000,2824,2476,348,2824,2477,347,1176,1049,127
7,31,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0
7,56,1,1,0,1,1,0,1,1,0,2,2,0,0,0,0
7,59,0,0,0,0,0,0,2,0,2,1,0,1,2,1,1
7,73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,101,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
7,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,218,1593,684,909,1629,697,932,247,118,129,41,30,11,437,167,270
7,83,3,2,1,1,1,0,8,3,5,8,4,4,1,1,0
7,104,5,0,5,5,0,5,6,4,2,6,5,1,0,0,0
7,12,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
7,74,1,0,1,0,0,0,83,35,48,47,26,21,5,1,4
7,145,5,2,3,7,2,5,7,1,6,5,3,2,5,4,1
7,200,29,14,15,31,15,16,7,3,4,10,0,10,16,12,4
7,14,3,3,0,2,1,1,3,2,1,2,1,1,1,0,1
7,17,20,9,11,21,9,12,42,7,35,40,6,34,9,4,5
7,25,348,155,193,349,156,193,66,29,37,1062,473,589,3,2,1
7,29,68,24,44,68,25,43,76,33,43,76,33,43,76,33,43
7,54,0,0,0,0,0,0,0,0,0,50,12,38,4,1,3
7,61,59,31,28,47,27,20,67,34,33,36,7,29,63,30,33
7,62,30,12,18,29,11,18,77,33,44,78,34,44,9,5,4
7,85,6,3,3,7,3,4,1,1,0,2,1,1,0,0,0
7,105,23,11,12,22,10,12,4,1,3,5,2,3,3,1,2
7,138,34,16,18,34,17,17,3,2,1,3,1,2,6,3,3
7,173,56,28,28,88,44,44,44,22,22,30,16,14,11,6,5
7,174,16,8,8,25,13,12,15,8,7,7,4,3,6,3,3
7,176,2,0,2,2,2,0,1,1,0,1,1,0,1,0,1
7,186,0,0,0,0,0,0,256,116,140,257,116,141,21,9,12
7,221,212,95,117,222,99,123,124,42,82,123,43,80,2,0,2
7,148,7,4,3,37,18,19,39,18,21,7,4,3,8,4,4
7,24,5,4,1,5,4,1,0,0,0,0,0,0,0,0,0
7,42,0,0,0,1,0,1,2,0,2,2,0,2,5,1,4
7,46,1,0,1,1,0,1,2,1,1,4,1,3,3,1,2
7,91,3,1,2,2,1,1,3,1,2,3,2,1,3,1,2
7,37,182,84,98,231,107,124,28,17,11,110,53,57,282,135,147
7,220,2847,1324,1523,3455,1620,1835,3488,1628,1860,3757,1460,2297,2989,1279,1710
7,11,6,3,3,5,3,2,10,0,10,20,10,10,11,10,1
7,68,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,64,79,48,31,60,37,23,35,26,9,17,7,10,44,12,32
8,142,4,1,3,3,1,2,15,6,9,2,0,2,5,2,3
8,191,105,92,13,280,167,113,193,81,112,701,329,372,543,261,282
8,34,3,1,2,2,1,1,3,1,2,3,1,2,0,0,0
8,130,6,5,1,8,5,3,2,1,1,2,1,1,2,1,1
8,106,293,62,231,122,3,119,72,53,19,181,64,117,503,236,267
8,161,270,163,107,355,212,143,265,158,107,246,150,96,2,1,1
8,55,9,5,4,8,4,4,18,10,8,33,18,15,4,3,1
8,103,3977,1688,2289,2325,1071,1254,2949,1383,1566,3371,1546,1825,1195,462,733
8,211,48,24,24,49,24,25,3,0,3,4,1,3,2,0,2
8,18,18,1,17,17,1,16,4,1,3,4,1,3,5,1,4
8,31,23,10,13,23,11,12,32,16,16,28,13,15,6,3,3
8,56,38,20,18,38,20,18,19,6,13,30,9,21,77,42,35
8,95,101,54,47,100,54,46,52,30,22,52,30,22,69,51,18
8,162,37,21,16,31,18,13,46,36,10,54,39,15,10,5,5
8,170,36,13,23,37,4,33,144,72,72,152,78,74,5,2,3
8,187,12,5,7,22,9,13,7,3,4,7,4,3,15,7,8
8,59,66,24,42,66,25,41,78,45,33,77,45,32,104,62,42
8,73,13,10,3,12,9,3,86,52,34,86,52,34,158,86,72
8,96,4,2,2,4,3,1,7,4,3,7,4,3,9,7,2
8,101,112,51,61,207,102,105,22,11,11,62,43,19,7,1,6
8,114,5,2,3,6,2,4,3,2,1,3,2,1,4,2,2
8,120,10,5,5,21,11,10,2,0,2,7,7,0,10,6,4
8,153,46,22,24,42,19,23,94,37,57,184,105,79,275,169,106
8,199,357,171,186,165,74,91,277,162,115,156,105,51,316,189,127
8,218,2775,1120,1655,2839,1142,1697,1440,671,769,2093,997,1096,1245,466,779
8,4,32,16,16,33,18,15,343,181,162,325,171,154,179,107,72
8,52,23,13,10,9,7,2,14,5,9,14,5,9,1,0,1
8,83,63,38,25,76,39,37,15,2,13,14,2,12,30,22,8
8,104,5550,1294,4256,5550,1294,4256,26463,13283,13180,26462,13282,13180,1389,688,701
8,127,2,1,1,1,1,0,4,2,2,4,0,4,2,2,0
8,163,351,161,190,378,173,205,165,88,77,32,3,29,113,26,87
8,178,6,3,3,7,3,4,7,3,4,5,3,2,4,2,2
8,182,33,11,22,14,4,10,0,0,0,1,1,0,2,1,1
8,188,37,14,23,39,14,25,140,83,57,141,67,74,12,0,12
8,193,7887,4323,3564,28529,14834,13695,164675,86514,78161,38541,19989,18552,31777,18946,12831
8,12,108,62,46,107,62,45,124,50,74,124,51,73,221,114,107
8,19,1,1,0,9,4,5,135,70,65,69,24,45,80,45,35
8,74,328,52,276,328,52,276,1032,607,425,603,230,373,978,390,588
8,80,465,174,291,464,174,290,6594,3196,3398,6593,3196,3397,618,285,333
8,119,0,0,0,0,0,0,9,4,5,10,4,6,7,2,5
8,121,2,0,2,1,1,0,5,1,4,4,2,2,13,8,5
8,145,171,63,108,235,89,146,696,271,425,128,69,59,326,164,162
8,200,740,474,266,760,492,268,701,211,490,902,35,867,1321,929,392
8,14,2,1,1,1,0,1,47,32,15,46,32,14,9,6,3
8,25,14,5,9,15,6,9,2,1,1,42,14,28,0,0,0
8,38,5,2,3,5,1,4,1,0,1,1,1,0,1,0,1
8,53,90,52,38,91,53,38,1,0,1,17,7,10,17,8,9
