Label,name,code,region,sub_region,_pos,lat,lng,Abb
39,Central African Republic,140,Africa,Middle Africa,"array([1.85007821, 1.84545705])",6.611111,20.939444,CAF
40,Chad,148,Africa,Middle Africa,"array([1.89290505, 1.81754963])",15.454166,18.732207,TCD
41,Channel Islands,830,Europe,Northern Europe,"array([1.83638439, 2.22189626])",19.333,81.217,CIN
42,Chile,152,Latin America and the Caribbean,South America,"array([1.81695556, 1.9859948 ])",-35.675147,-71.542969,CHL
43,China,156,Asia,Eastern Asia,"array([1.81634823, 2.02608907])",35.86166,104.195397,CHN
44,"China, Hong Kong Special Administrative Region",344,Asia,Eastern Asia,"array([1.80288136, 2.0861877 ])",22.396428,114.109497,HKG
45,"China, Macao Special Administrative Region",446,Asia,Eastern Asia,"array([1.77593072, 2.15239029])",22.198745,113.543873,MAC
46,Colombia,170,Latin America and the Caribbean,South America,"array([1.77265212, 1.995916  ])",4.570868,-74.297333,COL
47,Comoros,174,Africa,Eastern Africa,"array([1.85953241, 2.13381899])",-11.875001,43.872219,COM
48,Congo,178,Africa,Middle Africa,"array([1.92557436, 1.8872231 ])",-4.038333,21.758664,COG
49,Cook Islands,184,Oceania,Polynesia,"array([2.02192033, 2.04023565])",-21.236736,-159.777671,COK
50,Costa Rica,188,Latin America and the Caribbean,Central America,"array([1.79249528, 1.99744348])",9.748917,-83.753428,CRI
51,Côte d'Ivoire,384,Africa,Western Africa,"array([1.93302742, 1.86678355])",7.539989,-5.54708,CIV
52,Croatia,191,Europe,Southern Europe,"array([1.88729378, 1.96674039])",45.1,15.2,HRV
53,Cuba,192,Latin America and the Caribbean,Caribbean,"array([1.76310321, 2.01329857])",21.521757,-77.781167,CUB
54,Curaçao,531,Latin America and the Caribbean,Caribbean,"array([1.67602435, 2.04462783])",12.16957,-68.990021,CUW
55,Cyprus,196,Asia,Western Asia,"array([1.8602191 , 1.93974762])",35.126413,33.429859,CYP
56,Czech Republic,203,Europe,Eastern Europe,"array([1.86785484, 1.97305001])",49.817492,15.472962,CZE
57,Democratic People's Republic of Korea,408,Asia,Eastern Asia,"array([1.76989731, 2.03339778])",40.339852,127.510093,PRK
58,Democratic Republic of the Congo,180,Africa,Middle Africa,"array([1.95870703, 1.91501136])",-0.228021,15.827659,COD
59,Denmark,208,Europe,Northern Europe,"array([1.83069359, 1.97201271])",56.26392,9.501785,DNK
60,Djibouti,262,Africa,Eastern Africa,"array([1.81580121, 1.80983071])",11.825138,42.590275,DJI
61,Dominica,212,Latin America and the Caribbean,Caribbean,"array([1.70511143, 2.0320297 ])",15.414999,-61.370976,DMA
62,Dominican Republic,214,Latin America and the Caribbean,Caribbean,"array([1.75718074, 1.98982508])",18.735693,-70.162651,DOM
63,Ecuador,218,Latin America and the Caribbean,South America,"array([1.76249727, 1.9482164 ])",-1.831239,-78.183406,ECU
64,Egypt,818,Africa,Northern Africa,"array([1.85439876, 1.92223817])",26.820553,30.802498,EGY
65,El Salvador,222,Latin America and the Caribbean,Central America,"array([1.73101409, 1.9602583 ])",13.794185,-88.89653,SLV
66,Equatorial Guinea,226,Africa,Middle Africa,"array([2.00276915, 1.91525274])",1.650801,10.267895,GNQ
67,Eritrea,232,Africa,Eastern Africa,"array([1.9686361 , 1.93768343])",15.179384,39.782334,ERI
68,Estonia,233,Europe,Northern Europe,"array([1.80039032, 1.94975273])",58.595272,25.013607,EST
69,Ethiopia,231,Africa,Eastern Africa,"array([1.92490949, 1.93707557])",9.145,40.489673,ETH
70,Faeroe Islands,234,Europe,Northern Europe,"array([1.88507166, 2.08124501])",61.892635,-6.911806,FRO
71,Falkland Islands (Malvinas),238,Latin America and the Caribbean,South America,"array([1.75665057, 2.18198301])",-51.796253,-59.523613,FLK
72,Fiji,242,Oceania,Melanesia,"array([1.95048546, 2.05186449])",-16.578193,179.414413,FJI
73,Finland,246,Europe,Northern Europe,"array([1.85276316, 1.96646825])",61.92411,25.748151,FIN
74,France,250,Europe,Western Europe,"array([1.83726869, 1.99911738])",46.227638,2.213749,FRA
75,French Guiana,254,Latin America and the Caribbean,South America,"array([1.69222913, 2.09639663])",3.933889,-53.125782,GUF
76,French Polynesia,258,Oceania,Polynesia,"array([1.89018401, 2.126719  ])",-17.679742,-149.406843,PYF
77,Gabon,266,Africa,Middle Africa,"array([1.93673671, 1.90745467])",-0.803689,11.609444,GAB
78,Gambia,270,Africa,Western Africa,"array([1.86830996, 1.80561622])",13.443182,-15.310139,GMB
79,Georgia,268,Asia,Western Asia,"array([1.72260057, 1.89020488])",42.315407,43.356892,GEO
80,Germany,276,Europe,Western Europe,"array([1.81170512, 1.93635419])",51.165691,10.451526,DEU
81,Ghana,288,Africa,Western Africa,"array([1.89124081, 1.91463084])",7.946527,-1.023194,GHA
82,Gibraltar,292,Europe,Southern Europe,"array([1.78286954, 1.79556913])",36.137741,-5.345374,GIB
83,Greece,300,Europe,Southern Europe,"array([1.83110205, 1.98691881])",39.074208,21.824312,GRC
84,Greenland,304,Northern America,South America,"array([1.74804874, 2.09326915])",71.706936,-42.604303,GRL
85,Grenada,308,Latin America and the Caribbean,Caribbean,"array([1.66818779, 1.95204486])",12.262776,-61.604171,GRD
86,Guadeloupe,312,Latin America and the Caribbean,Caribbean,"array([1.71728018, 2.08560055])",16.995971,-62.067641,GLP
87,Guam,316,Oceania,Micronesia,"array([1.80210286, 2.17820619])",13.444304,144.793731,GUM
88,Guatemala,320,Latin America and the Caribbean,Central America,"array([1.74570178, 2.00937254])",15.783471,-90.230759,GTM
89,Guinea,324,Africa,Western Africa,"array([1.85236838, 1.86381327])",9.945587,-9.696645,GIN
